Stock,DatePurch,BuyPrice,Today
SouthWest,1/20/2021, $ 47.10 , $ 22.34 
SkyWest,1/22/2021, $ 40.66 , $ 42.27 
JetBlue,1/22/2021, $ 15.09 , $ 4.13 
Delta,1/22/2021, $ 39.97 , $ 30.65 
Alaska,1/22/2021, $ 54.15 , $ 31.25 
American Airlines,1/22/2021, $ 15.52 , $ 10.92 
United Airlines,1/22/2021, $ 41.82 , $ 33.90 
Air Canada,03/05/2021, $ 21.55 , $ 12.07 
